"character","other_name"
"神楽龍平","リュウ"
"志賀孝志",""
"白鳥里沙",""
"穂高",""
"水上洋次郎",""
"富山",""
"蓼科早樹",""
"蓼科耕作",""
"神楽昭吾",""
"スズラン",""
"キールノイマン",""
"丸沼玲子",""
"塩原",""
"勝山悟郎",""
"桑原裕太",""
"玉原",""
"北峰",""
"チクシ",""
"サソリ",""
