"character","other_name"
"栗原一止","イチさん"
"栗原榛名","ハル"
"砂山次郎",""
"外村",""
"東西直美",""
"水無陽子",""
"板垣源蔵","大狸先生"
"内藤鴨一","古狐先生"
"安曇雪乃",""
"豊科",""
"明科",""
"倉科",""
"田川仁",""
"グレーの紳士",""
"男爵",""
"橘仙介","学士殿"
