"character","other_name"
"秋庭高範","元航空自衛隊二等空尉"
"小笠原真奈",""
"谷田部遼一",""
"海月",""
"トモヤ","囚人"
"横山ユウコ",""
"入江慎吾","陸上自衛隊・立川駐屯地の駐屯地司令"
"野坂由美","陸上自衛隊三曹"
"野坂正",""
"グレッグマクファーレン","アメリカ海軍大尉"
"カールニックス","アメリカ海軍中尉"
