"character","other_name"
"安芸倫也","倫理,トモ,アッキー,TAKI"
"加藤恵",""
"澤村・スペンサー・英梨々","柏木エリ"
"霞ヶ丘詩羽","霞詩子,しーちゃん"
"波島出海",""
"氷堂美智留","みっちゃん,ミッチー"
"波島伊織","ハッシー"
"紅坂朱音",""
"加藤圭一",""
"澤村小百合","ママ"
"町田苑子",""
"松原穂積",""
"相楽真由",""
"相楽文雄",""
"山科慶太",""
"竹下千歳",""
"姫川時乃","トキ"
"水原叡智佳","エチカ"
"森丘藍子","ランコ"
