"character","other_name"
"半沢直樹","課長"
"半沢花",""
"渡真利忍",""
"近藤直弼",""
"苅田",""
"浅野匡","支店長"
"江島浩","副支店長"
"中西",""
"小木曽","人事部次長"
"定岡",""
"木村","部長代理"
"東田満","西大阪スチール社長"
"波野","経理課長"
"未樹","信用課課長代理"
"来生卓治",""
"竹下清彦","竹下金属社長"
"板橋","淡路鉄鋼社長"


