"character","other_name"
"佃航平","社長"
"殿村直弘","経理部長"
"津野薫","営業第一部長"
"山崎光彦","技術開発部長"
"唐木田篤","営業第二部長"
"江原春樹","営業第二部若手社員"
"迫田滋","経理部係長"
"埜村耕助",""
"村木昭夫",""
"真野賢作",""
"立花洋介",""
"加納アキ",""
"中里淳",""
"軽部真樹男",""
"神谷修一",""
"財前道生","宇宙航空部 開発担当部長"
"富山敬治",""
"水原重治",""
"浅木",""
"石坂宗典","宇宙航空部 調達担当部長"
"的場俊一",""
"藤間秀樹","帝国重工社長"
"中川京一","ベテラン弁護士"
"青山賢吾","若手弁護士"
"和泉沙耶",""
"佃利菜",""
"佃和枝",""
"殿村正弘",""
"柳井哲二","課長代理"
"根木節生","支店長"


