"character","other_name"
"新田浩介","捜査一課,警部補"
"稲垣","捜査一課係長"
"尾崎","捜査一課管理官"
"本宮","捜査一課"
"関根","捜査一課,巡査"
"関根",""
"山岸尚美",""
"藤木",""
"田倉",""
"久我",""
"杉下",""
"仁科理恵",""
"片桐瑶子",""
"安野絵里子",""
"栗原健治",""
"高山佳子",""
