"character","other_name"
"鈴木","たっくん"
"成岡繭子",""
"望月大輔",""
"大石","がっちゃん"
"北原",""
"松本優子",""
"渡辺和美",""
"海藤",""
"石丸美弥子",""
"梵",""
"天童",""
