"character","other_name"
"清瀬灰二","ハイジ"
"蔵原走","カケル"
"平田彰宏","ニコチャン"
"岩倉雪彦","ユキ"
"坂口洋平","キング"
"杉山高志","神童"
"ムサ・カマラ","ムサ"
"柏崎茜","王子"
"城太郎","ジョータ"
"城次郎","ジョージ"
"勝田葉菜子",""
"藤岡一真",""
"榊浩介",""
"田崎源一郎",""
"勝田慎吾",""
"ニラ",""

