title,id,author
イニシエーション・ラブ (文春文庫),573811,乾くるみ
神様のカルテ (小学館文庫),3097019,夏川草介
プラチナデータ (幻冬舎文庫),5193896,東野圭吾
塩の街 (角川文庫),580486,有川浩
