precision,recall,f_measure,accuracy
0.306818182,0.343949045,0.324324324,0.80834753
0.340206186,0.210191083,0.25984252,0.839863714
0.329896907,0.203821656,0.251968504,0.838160136
0.333333333,0.369426752,0.350453172,0.816865417
0.274509804,0.267515924,0.270967742,0.807495741
0.316952882,0.278980892,0.291511252,0.822146508
